Boston, Massachusetts, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
193604,44.2,-3.2
193704,44.2,-3.2
193804,47.6,0.2
193904,42.6,-4.8
194004,42.4,-5.0
194104,50.4,3.0
194204,48.6,1.2
194304,42.2,-5.2
194404,43.5,-3.9
194504,51.4,4.0
194604,44.9,-2.5
194704,45.9,-1.5
194804,46.7,-0.7
194904,49.6,2.2
195004,45.4,-2.0
195104,49.7,2.3
195204,49.2,1.8
195304,47.6,0.2
195404,48.8,1.4
195504,47.9,0.5
195604,44.3,-3.1
195704,48.1,0.7
195804,47.5,0.1
195904,47.6,0.2
196004,47.0,-0.4
196104,44.0,-3.4
196204,48.1,0.7
196304,47.3,-0.1
196404,45.4,-2.0
196504,44.0,-3.4
196604,44.6,-2.8
196704,43.6,-3.8
196804,48.4,1.0
196904,49.4,2.0
197004,47.2,-0.2
197104,44.2,-3.2
197204,43.2,-4.2
197304,48.1,0.7
197404,49.1,1.7
197504,42.9,-4.5
197604,52.8,5.4
197704,49.1,1.7
197804,46.5,-0.9
197904,47.3,-0.1
198004,47.3,-0.1
198104,50.3,2.9
198204,46.8,-0.6
198304,47.7,0.3
198404,45.4,-2.0
198504,48.6,1.2
198604,47.7,0.3
198704,44.4,-3.0
198804,46.1,-1.3
198904,45.3,-2.1
199004,47.0,-0.4
199104,50.4,3.0
199204,45.4,-2.0
199304,47.4,0.0
199404,50.5,3.1
199504,45.1,-2.3
199604,48.0,0.6
199704,46.4,-1.0
199804,49.5,2.1
199904,49.3,1.9
200004,47.4,0.0
200104,48.8,1.4
200204,49.8,2.4
200304,44.5,-2.9
200404,49.6,2.2
200504,49.8,2.4
200604,49.9,2.5
200704,45.0,-2.4
200804,49.2,1.8
200904,50.4,3.0
201004,52.8,5.4
201104,49.9,2.5
201204,52.9,5.5
201304,48.9,1.5
201404,48.1,0.7
201504,48.0,0.6
201604,47.1,-0.3
201704,51.7,4.3
201804,45.4,-2.0
201904,50.4,3.0
202004,45.6,-1.8
202104,49.7,2.3
202204,50.1,2.7
