Boston, Massachusetts, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
193612,48.5,-2.1
193712,49.9,-0.7
193812,49.8,-0.8
193912,48.5,-2.1
194012,47.2,-3.4
194112,49.9,-0.7
194212,49.4,-1.2
194312,48.6,-2.0
194412,49.6,-1.0
194512,49.6,-1.0
194612,50.2,-0.4
194712,49.8,-0.8
194812,49.3,-1.3
194912,52.2,1.6
195012,49.8,-0.8
195112,50.7,0.1
195212,51.0,0.4
195312,52.1,1.5
195412,49.9,-0.7
195512,49.9,-0.7
195612,49.2,-1.4
195712,51.0,0.4
195812,48.5,-2.1
195912,50.3,-0.3
196012,49.9,-0.7
196112,49.5,-1.1
196212,48.2,-2.4
196312,49.4,-1.2
196412,49.5,-1.1
196512,49.4,-1.2
196612,50.2,-0.4
196712,48.2,-2.4
196812,49.1,-1.5
196912,49.8,-0.8
197012,49.6,-1.0
197112,50.1,-0.5
197212,48.6,-2.0
197312,51.2,0.6
197412,49.0,-1.6
197512,50.6,0.0
197612,49.9,-0.7
197712,50.3,-0.3
197812,48.6,-2.0
197912,50.7,0.1
198012,49.3,-1.3
198112,50.1,-0.5
198212,49.6,-1.0
198312,51.9,1.3
198412,50.9,0.3
198512,50.3,-0.3
198612,50.2,-0.4
198712,49.8,-0.8
198812,50.7,0.1
198912,49.7,-0.9
199012,52.5,1.9
199112,52.5,1.9
199212,49.3,-1.3
199312,50.7,0.1
199412,51.2,0.6
199512,50.5,-0.1
199612,50.7,0.1
199712,51.0,0.4
199812,53.1,2.5
199912,52.8,2.2
200012,50.7,0.1
200112,52.6,2.0
200212,52.9,2.3
200312,50.3,-0.3
200412,50.9,0.3
200512,51.1,0.5
200612,53.0,2.4
200712,51.4,0.8
200812,51.8,1.2
200912,50.6,0.0
201012,53.6,3.0
201112,53.1,2.5
201212,54.1,3.5
201312,52.0,1.4
201412,51.1,0.5
201512,51.6,1.0
201612,53.4,2.8
201712,52.6,2.0
201812,52.5,1.9
201912,51.6,1.0
202012,53.9,3.3
202112,53.8,3.2
