Boston, Massachusetts, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
193605,59.7,2.0
193705,58.2,0.5
193805,54.9,-2.8
193905,55.5,-2.2
194005,55.4,-2.3
194105,58.9,1.2
194205,59.8,2.1
194305,56.7,-1.0
194405,62.3,4.6
194505,54.2,-3.5
194605,56.9,-0.8
194705,55.9,-1.8
194805,53.9,-3.8
194905,59.3,1.6
195005,54.7,-3.0
195105,58.0,0.3
195205,56.1,-1.6
195305,57.3,-0.4
195405,55.2,-2.5
195505,61.7,4.0
195605,54.4,-3.3
195705,58.8,1.1
195805,55.5,-2.2
195905,61.5,3.8
196005,58.6,0.9
196105,55.2,-2.5
196205,55.9,-1.8
196305,57.6,-0.1
196405,60.3,2.6
196505,60.1,2.4
196605,56.0,-1.7
196705,50.4,-7.3
196805,54.8,-2.9
196905,57.2,-0.5
197005,58.9,1.2
197105,55.6,-2.1
197205,55.8,-1.9
197305,55.2,-2.5
197405,53.0,-4.7
197505,59.2,1.5
197605,58.0,0.3
197705,60.4,2.7
197805,57.5,-0.2
197905,59.8,2.1
198005,58.0,0.3
198105,59.1,1.4
198205,56.4,-1.3
198305,56.8,-0.9
198405,57.3,-0.4
198505,58.6,0.9
198605,57.8,0.1
198705,56.5,-1.2
198805,56.9,-0.8
198905,58.7,1.0
199005,54.2,-3.5
199105,62.3,4.6
199205,54.6,-3.1
199305,59.4,1.7
199405,57.5,-0.2
199505,56.3,-1.4
199605,57.4,-0.3
199705,56.2,-1.5
199805,60.4,2.7
199905,58.3,0.6
200005,57.3,-0.4
200105,59.6,1.9
200205,57.8,0.1
200305,55.1,-2.6
200405,58.9,1.2
200505,52.3,-5.4
200605,56.8,-0.9
200705,61.2,3.5
200805,57.5,-0.2
200905,59.3,1.6
201005,62.6,4.9
201105,59.0,1.3
201205,60.3,2.6
201305,58.8,1.1
201405,58.7,1.0
201505,62.3,4.6
201605,58.6,0.9
201705,56.3,-1.4
201805,62.1,4.4
201905,56.5,-1.2
202005,58.0,0.3
202105,59.0,1.3
202205,60.6,2.9
