Boston, Massachusetts, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
193611,37.6,-6.2
193711,42.0,-1.8
193811,44.4,0.6
193911,38.8,-5.0
194011,41.0,-2.8
194111,46.1,2.3
194211,41.6,-2.2
194311,41.4,-2.4
194411,41.3,-2.5
194511,43.4,-0.4
194611,45.8,2.0
194711,39.1,-4.7
194811,47.6,3.8
194911,41.4,-2.4
195011,45.7,1.9
195111,40.5,-3.3
195211,42.8,-1.0
195311,46.5,2.7
195411,42.3,-1.5
195511,39.8,-4.0
195611,44.0,0.2
195711,45.0,1.2
195811,44.5,0.7
195911,42.3,-1.5
196011,45.9,2.1
196111,42.5,-1.3
196211,39.7,-4.1
196311,46.2,2.4
196411,43.6,-0.2
196511,40.9,-2.9
196611,45.6,1.8
196711,38.8,-5.0
196811,42.5,-1.3
196911,43.1,-0.7
197011,44.4,0.6
197111,41.3,-2.5
197211,40.5,-3.3
197311,44.0,0.2
197411,43.1,-0.7
197511,49.6,5.8
197611,39.6,-4.2
197711,45.9,2.1
197811,42.2,-1.6
197911,47.2,3.4
198011,39.8,-4.0
198111,42.5,-1.3
198211,46.2,2.4
198311,45.4,1.6
198411,43.9,0.1
198511,44.8,1.0
198611,41.6,-2.2
198711,43.2,-0.6
198811,46.0,2.2
198911,42.1,-1.7
199011,47.6,3.8
199111,44.3,0.5
199211,41.9,-1.9
199311,44.7,0.9
199411,48.0,4.2
199511,40.9,-2.9
199611,40.4,-3.4
199711,41.7,-2.1
199811,44.7,0.9
199911,48.1,4.3
200011,43.9,0.1
200111,48.4,4.6
200211,43.0,-0.8
200311,46.0,2.2
200411,44.4,0.6
200511,46.0,2.2
200611,48.9,5.1
200711,42.9,-0.9
200811,43.2,-0.6
200911,48.6,4.8
201011,44.6,0.8
201111,50.2,6.4
201211,42.1,-1.7
201311,42.7,-1.1
201411,42.5,-1.3
201511,48.6,4.8
201611,46.2,2.4
201711,43.7,-0.1
201811,41.1,-2.7
201911,40.6,-3.2
202011,48.9,5.1
202111,44.7,0.9
202211,49.0,5.2
