Date,Value,Anomaly
194512,58.9,-2.3
194612,58.8,-2.4
194712,59.6,-1.6
194812,57.7,-3.5
194912,58.0,-3.2
195012,58.1,-3.1
195112,58.5,-2.7
195212,58.0,-3.2
195312,59.4,-1.8
195412,59.5,-1.7
195512,58.3,-2.9
195612,59.6,-1.6
195712,60.1,-1.1
195812,61.8,0.6
195912,62.0,0.8
196012,59.9,-1.3
196112,60.3,-0.9
196212,59.1,-2.1
196312,61.4,0.2
196412,58.9,-2.3
196512,59.8,-1.4
196612,60.4,-0.8
196712,60.6,-0.6
196812,60.3,-0.9
196912,60.2,-1.0
197012,60.5,-0.7
197112,59.6,-1.6
197212,60.8,-0.4
197312,59.7,-1.5
197412,60.1,-1.1
197512,59.3,-1.9
197612,61.9,0.7
197712,61.2,0.0
197812,61.4,0.2
197912,61.1,-0.1
198012,61.2,0.0
198112,62.4,1.2
198212,60.8,-0.4
198312,61.8,0.6
198412,62.6,1.4
198512,60.7,-0.5
198612,61.9,0.7
198712,60.9,-0.3
198812,61.2,0.0
198912,61.4,0.2
199012,62.0,0.8
199112,60.8,-0.4
199212,63.1,1.9
199312,62.2,1.0
199412,61.8,0.6
199512,61.6,0.4
199612,62.4,1.2
199712,63.3,2.1
199812,61.2,0.0
199912,60.4,-0.8
200012,61.9,0.7
200112,60.6,-0.6
200212,61.0,-0.2
200312,62.0,0.8
200412,62.2,1.0
200512,61.9,0.7
200612,63.0,1.8
200712,62.1,0.9
200812,63.2,2.0
200912,62.2,1.0
201012,61.4,0.2
201112,61.3,0.1
201212,62.9,1.7
201312,63.2,2.0
201412,65.5,4.3
201512,65.0,3.8
201612,64.3,3.1
201712,64.4,3.2
201812,64.3,3.1
201912,63.1,1.9
202012,64.4,3.2
202112,62.7,1.5
