Date,Value,Anomaly
194408,66.0,-2.5
194508,68.1,-0.4
194608,67.0,-1.5
194708,66.5,-2.0
194808,64.2,-4.3
194908,66.0,-2.5
195008,63.4,-5.1
195108,65.0,-3.5
195208,65.8,-2.7
195308,64.4,-4.1
195408,67.8,-0.7
195508,67.5,-1.0
195608,66.1,-2.4
195708,68.8,0.3
195808,69.4,0.9
195908,68.6,0.1
196008,66.5,-2.0
196108,68.1,-0.4
196208,67.6,-0.9
196308,69.0,0.5
196408,67.5,-1.0
196508,69.5,1.0
196608,70.2,1.7
196708,70.5,2.0
196808,66.0,-2.5
196908,68.5,0.0
197008,66.9,-1.6
197108,71.7,3.2
197208,70.3,1.8
197308,66.6,-1.9
197408,67.1,-1.4
197508,65.8,-2.7
197608,67.1,-1.4
197708,68.7,0.2
197808,67.6,-0.9
197908,68.7,0.2
198008,68.6,0.1
198108,69.1,0.6
198208,69.2,0.7
198308,71.8,3.3
198408,71.3,2.8
198508,68.1,-0.4
198608,67.1,-1.4
198708,65.9,-2.6
198808,66.5,-2.0
198908,65.9,-2.6
199008,67.9,-0.6
199108,67.2,-1.3
199208,71.5,3.0
199308,67.7,-0.8
199408,72.9,4.4
199508,67.2,-1.3
199608,71.5,3.0
199708,70.4,1.9
199808,71.7,3.2
199908,66.4,-2.1
200008,69.6,1.1
200108,67.3,-1.2
200208,66.5,-2.0
200308,69.9,1.4
200408,68.2,-0.3
200508,68.5,0.0
200608,70.2,1.7
200708,70.8,2.3
200808,69.5,1.0
200908,68.3,-0.2
201008,65.3,-3.2
201108,67.1,-1.4
201208,71.7,3.2
201308,68.1,-0.4
201408,70.7,2.2
201508,72.2,3.7
201608,70.0,1.5
201708,71.1,2.6
201808,73.9,5.4
201908,69.6,1.1
202008,71.5,3.0
202108,69.7,1.2
202208,72.2,3.7
