Los Angeles, California, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
194412,54.8,-0.5
194512,53.2,-2.1
194612,52.8,-2.5
194712,52.8,-2.5
194812,50.4,-4.9
194912,50.8,-4.5
195012,56.6,1.3
195112,51.6,-3.7
195212,52.9,-2.4
195312,54.2,-1.1
195412,54.6,-0.7
195512,52.6,-2.7
195612,55.8,0.5
195712,56.8,1.5
195812,57.3,2.0
195912,56.4,1.1
196012,52.9,-2.4
196112,52.1,-3.2
196212,54.6,-0.7
196312,55.9,0.6
196412,53.2,-2.1
196512,53.2,-2.1
196612,54.6,-0.7
196712,53.0,-2.3
196812,51.8,-3.5
196912,56.3,1.0
197012,53.5,-1.8
197112,50.3,-5.0
197212,54.3,-1.0
197312,55.8,0.5
197412,53.3,-2.0
197512,55.1,-0.2
197612,57.8,2.5
197712,58.7,3.4
197812,52.0,-3.3
197912,58.4,3.1
198012,58.0,2.7
198112,57.2,1.9
198212,54.1,-1.2
198312,55.3,0.0
198412,53.4,-1.9
198512,57.3,2.0
198612,56.6,1.3
198712,52.1,-3.2
198812,54.7,-0.6
198912,58.7,3.4
199012,55.0,-0.3
199112,56.9,1.6
199212,54.0,-1.3
199312,56.7,1.4
199412,55.7,0.4
199512,57.1,1.8
199612,56.4,1.1
199712,56.5,1.2
199812,55.1,-0.2
199912,58.1,2.8
200012,57.3,2.0
200112,54.5,-0.8
200212,55.2,-0.1
200312,55.6,0.3
200412,56.2,0.9
200512,57.9,2.6
200612,56.8,1.5
200712,55.3,0.0
200812,54.3,-1.0
200912,55.7,0.4
201012,57.6,2.3
201112,54.5,-0.8
201212,56.0,0.7
201312,58.5,3.2
201412,57.7,2.4
201512,56.8,1.5
201612,57.6,2.3
201712,60.5,5.2
201812,57.8,2.5
201912,57.9,2.6
202012,58.6,3.3
202112,55.3,0.0
