Date,Value,Anomaly
194501,52.0,-2.9
194601,52.8,-2.1
194701,49.8,-5.1
194801,52.7,-2.2
194901,44.6,-10.3
195001,46.1,-8.8
195101,51.6,-3.3
195201,49.9,-5.0
195301,56.4,1.5
195401,51.1,-3.8
195501,48.9,-6.0
195601,51.6,-3.3
195701,50.8,-4.1
195801,55.4,0.5
195901,56.0,1.1
196001,51.4,-3.5
196101,56.9,2.0
196201,54.1,-0.8
196301,53.3,-1.6
196401,53.3,-1.6
196501,53.7,-1.2
196601,51.6,-3.3
196701,53.4,-1.5
196801,53.7,-1.2
196901,54.5,-0.4
197001,54.4,-0.5
197101,53.0,-1.9
197201,51.5,-3.4
197301,52.1,-2.8
197401,51.8,-3.1
197501,54.3,-0.6
197601,57.5,2.6
197701,55.3,0.4
197801,56.3,1.4
197901,52.3,-2.6
198001,57.4,2.5
198101,57.3,2.4
198201,52.4,-2.5
198301,56.6,1.7
198401,56.4,1.5
198501,53.7,-1.2
198601,60.4,5.5
198701,53.2,-1.7
198801,54.9,0.0
198901,53.6,-1.3
199001,55.3,0.4
199101,55.4,0.5
199201,56.6,1.7
199301,54.4,-0.5
199401,57.4,2.5
199501,55.0,0.1
199601,56.4,1.5
199701,55.5,0.6
199801,56.1,1.2
199901,55.8,0.9
200001,57.3,2.4
200101,53.8,-1.1
200201,54.3,-0.6
200301,61.0,6.1
200401,55.7,0.8
200501,56.3,1.4
200601,57.0,2.1
200701,54.0,-0.9
200801,55.3,0.4
200901,59.6,4.7
201001,57.9,3.0
201101,58.7,3.8
201201,58.9,4.0
201301,56.0,1.1
201401,60.8,5.9
201501,59.3,4.4
201601,56.4,1.5
201701,55.2,0.3
201801,61.0,6.1
201901,56.6,1.7
202001,58.6,3.7
202101,57.6,2.7
202201,59.3,4.4
