Los Angeles, California, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
194506,61.8,-2.4
194606,64.0,-0.2
194706,64.3,0.1
194806,61.6,-2.6
194906,64.6,0.4
195006,60.4,-3.8
195106,62.1,-2.1
195206,60.5,-3.7
195306,61.7,-2.5
195406,62.0,-2.2
195506,60.9,-3.3
195606,63.3,-0.9
195706,65.5,1.3
195806,64.9,0.7
195906,65.5,1.3
196006,63.9,-0.3
196106,63.1,-1.1
196206,61.2,-3.0
196306,63.7,-0.5
196406,60.2,-4.0
196506,60.9,-3.3
196606,64.6,0.4
196706,61.3,-2.9
196806,63.7,-0.5
196906,63.0,-1.2
197006,63.2,-1.0
197106,62.2,-2.0
197206,64.6,0.4
197306,64.2,0.0
197406,64.2,0.0
197506,62.0,-2.2
197606,65.8,1.6
197706,62.9,-1.3
197806,65.4,1.2
197906,67.0,2.8
198006,63.5,-0.7
198106,69.7,5.5
198206,61.3,-2.9
198306,63.6,-0.6
198406,65.3,1.1
198506,64.2,0.0
198606,64.5,0.3
198706,62.9,-1.3
198806,61.8,-2.4
198906,63.4,-0.8
199006,65.7,1.5
199106,62.1,-2.1
199206,64.1,-0.1
199306,66.5,2.3
199406,66.5,2.3
199506,62.6,-1.6
199606,65.5,1.3
199706,65.8,1.6
199806,63.2,-1.0
199906,62.1,-2.1
200006,66.8,2.6
200106,66.3,2.1
200206,64.6,0.4
200306,64.0,-0.2
200406,65.7,1.5
200506,63.8,-0.4
200606,68.7,4.5
200706,64.3,0.1
200806,67.9,3.7
200906,64.5,0.3
201006,64.1,-0.1
201106,63.2,-1.0
201206,64.8,0.6
201306,67.4,3.2
201406,67.1,2.9
201506,65.8,1.6
201606,66.3,2.1
201706,66.2,2.0
201806,66.2,2.0
201906,65.6,1.4
202006,67.4,3.2
202106,65.6,1.4
202206,68.0,3.8
