Los Angeles, California, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
194503,51.6,-4.8
194603,53.8,-2.6
194703,57.3,0.9
194803,51.2,-5.2
194903,51.9,-4.5
195003,53.4,-3.0
195103,54.5,-1.9
195203,51.7,-4.7
195303,54.0,-2.4
195403,52.7,-3.7
195503,56.2,-0.2
195603,55.8,-0.6
195703,55.9,-0.5
195803,54.0,-2.4
195903,59.3,2.9
196003,55.6,-0.8
196103,54.9,-1.5
196203,51.7,-4.7
196303,54.6,-1.8
196403,53.9,-2.5
196503,55.5,-0.9
196603,55.5,-0.9
196703,55.6,-0.8
196803,57.5,1.1
196903,53.9,-2.5
197003,56.8,0.4
197103,54.3,-2.1
197203,57.3,0.9
197303,53.0,-3.4
197403,54.1,-2.3
197503,53.2,-3.2
197603,55.8,-0.6
197703,53.8,-2.6
197803,59.9,3.5
197903,55.3,-1.1
198003,56.0,-0.4
198103,55.8,-0.6
198203,55.3,-1.1
198303,55.6,-0.8
198403,59.5,3.1
198503,53.5,-2.9
198603,57.5,1.1
198703,57.2,0.8
198803,60.7,4.3
198903,57.1,0.7
199003,55.8,-0.6
199103,53.2,-3.2
199203,57.4,1.0
199303,58.7,2.3
199403,58.9,2.5
199503,58.3,1.9
199603,58.3,1.9
199703,59.8,3.4
199803,58.0,1.6
199903,54.0,-2.4
200003,56.8,0.4
200103,56.7,0.3
200203,56.9,0.5
200303,58.0,1.6
200403,59.9,3.5
200503,57.5,1.1
200603,53.6,-2.8
200703,59.4,3.0
200803,59.6,3.2
200903,57.2,0.8
201003,59.3,2.9
201103,57.4,1.0
201203,56.6,0.2
201303,58.7,2.3
201403,61.8,5.4
201503,64.0,7.6
201603,60.0,3.6
201703,60.5,4.1
201803,57.8,1.4
201903,58.6,2.2
202003,59.0,2.6
202103,56.6,0.2
202203,60.9,4.5
