Date,Value,Anomaly
194411,55.9,-3.9
194511,55.7,-4.1
194611,55.3,-4.5
194711,54.8,-5.0
194811,56.9,-2.9
194911,60.8,1.0
195011,58.9,-0.9
195111,58.4,-1.4
195211,55.8,-4.0
195311,58.9,-0.9
195411,59.5,-0.3
195511,56.5,-3.3
195611,62.8,3.0
195711,56.1,-3.7
195811,58.4,-1.4
195911,61.8,2.0
196011,56.3,-3.5
196111,57.1,-2.7
196211,57.7,-2.1
196311,59.8,0.0
196411,57.0,-2.8
196511,58.6,-1.2
196611,58.9,-0.9
196711,61.3,1.5
196811,59.2,-0.6
196911,61.7,1.9
197011,58.7,-1.1
197111,56.7,-3.1
197211,57.7,-2.1
197311,57.0,-2.8
197411,60.2,0.4
197511,58.1,-1.7
197611,63.7,3.9
197711,62.5,2.7
197811,56.8,-3.0
197911,58.8,-1.0
198011,60.2,0.4
198111,59.8,0.0
198211,59.0,-0.8
198311,59.2,-0.6
198411,56.9,-2.9
198511,56.8,-3.0
198611,63.2,3.4
198711,60.1,0.3
198811,58.3,-1.5
198911,63.3,3.5
199011,62.4,2.6
199111,61.6,1.8
199211,61.9,2.1
199311,61.8,2.0
199411,56.1,-3.7
199511,61.1,1.3
199611,60.3,0.5
199711,62.4,2.6
199811,58.4,-1.4
199911,59.4,-0.4
200011,57.0,-2.8
200111,59.5,-0.3
200211,62.6,2.8
200311,58.5,-1.3
200411,57.8,-2.0
200511,62.7,2.9
200611,63.0,3.2
200711,61.0,1.2
200811,63.5,3.7
200911,61.0,1.2
201011,60.9,1.1
201111,58.6,-1.2
201211,62.2,2.4
201311,63.6,3.8
201411,64.4,4.6
201511,61.7,1.9
201611,64.3,4.5
201711,64.6,4.8
201811,64.2,4.4
201911,62.7,2.9
202011,60.3,0.5
202111,63.7,3.9
