Date,Value,Anomaly
194409,64.8,-3.1
194509,67.2,-0.7
194609,67.2,-0.7
194709,66.5,-1.4
194809,64.6,-3.3
194909,65.2,-2.7
195009,63.6,-4.3
195109,65.0,-2.9
195209,65.4,-2.5
195309,62.9,-5.0
195409,64.8,-3.1
195509,67.4,-0.5
195609,67.0,-0.9
195709,65.0,-2.9
195809,68.8,0.9
195909,68.3,0.4
196009,68.0,0.1
196109,66.1,-1.8
196209,65.8,-2.1
196309,72.6,4.7
196409,64.8,-3.1
196509,66.1,-1.8
196609,66.6,-1.3
196709,69.7,1.8
196809,66.1,-1.8
196909,64.7,-3.2
197009,66.7,-1.2
197109,68.4,0.5
197209,67.3,-0.6
197309,65.0,-2.9
197409,66.5,-1.4
197509,67.7,-0.2
197609,68.1,0.2
197709,66.4,-1.5
197809,71.4,3.5
197909,71.6,3.7
198009,64.8,-3.1
198109,67.4,-0.5
198209,69.4,1.5
198309,70.6,2.7
198409,74.7,6.8
198509,66.9,-1.0
198609,64.0,-3.9
198709,67.8,-0.1
198809,65.9,-2.0
198909,66.5,-1.4
199009,69.2,1.3
199109,66.0,-1.9
199209,69.0,1.1
199309,67.2,-0.7
199409,68.9,1.0
199509,68.9,1.0
199609,67.3,-0.6
199709,72.3,4.4
199809,68.7,0.8
199909,65.0,-2.9
200009,68.5,0.6
200109,66.7,-1.2
200209,66.5,-1.4
200309,66.7,-1.2
200409,71.4,3.5
200509,66.4,-1.5
200609,68.3,0.4
200709,67.8,-0.1
200809,68.1,0.2
200909,69.4,1.5
201009,66.3,-1.6
201109,66.4,-1.5
201209,71.7,3.8
201309,69.6,1.7
201409,72.5,4.6
201509,74.6,6.7
201609,70.6,2.7
201709,70.6,2.7
201809,69.3,1.4
201909,72.5,4.6
202009,70.8,2.9
202109,68.4,0.5
202209,76.0,8.1
