
Year,Value
1881,-0.51
1882,-0.38
1883,-0.55
1884,-0.60
1885,-0.78
1886,-0.48
1887,-0.53
1888,-0.44
1889,-0.39
1890,-0.26
1891,-0.49
1892,-0.51
1893,-0.60
1894,-0.45
1895,-0.46
1896,-0.34
1897,-0.39
1898,-0.20
1899,-0.44
1900,-0.31
1901,-0.10
1902,-0.08
1903,-0.34
1904,-0.45
1905,-0.38
1906,-0.32
1907,-0.20
1908,-0.58
1909,-0.48
1910,-0.35
1911,-0.40
1912,-0.46
1913,-0.49
1914,-0.21
1915,-0.16
1916,-0.08
1917,-0.50
1918,-0.64
1919,-0.50
1920,-0.29
1921,-0.33
1922,-0.22
1923,-0.23
1924,-0.33
1925,-0.26
1926,-0.07
1927,-0.11
1928,-0.17
1929,-0.22
1930,-0.45
1931,-0.07
1932,0.07
1933,-0.14
1934,-0.33
1935,-0.07
1936,-0.17
1937,-0.11
1938,0.04
1939,0.18
1940,0.04
1941,0.12
1942,0.13
1943,0.00
1944,0.17
1945,0.12
1946,-0.02
1947,-0.05
1948,0.13
1949,0.05
1950,-0.16
1951,-0.30
1952,0.01
1953,-0.06
1954,0.13
1955,-0.02
1956,-0.21
1957,-0.39
1958,0.05
1959,0.10
1960,0.06
1961,0.01
1962,0.12
1963,0.14
1964,0.21
1965,-0.22
1966,-0.15
1967,-0.06
1968,0.00
1969,-0.17
1970,0.01
1971,0.05
1972,-0.11
1973,-0.07
1974,0.26
1975,-0.10
1976,0.13
1977,-0.30
1978,0.30
1979,0.08
1980,0.19
1981,0.40
1982,0.42
1983,0.20
1984,0.46
1985,0.06
1986,0.14
1987,0.28
1988,0.48
1989,0.53
1990,0.39
1991,0.67
1992,0.55
1993,0.22
1994,0.34
1995,0.53
1996,0.71
1997,0.37
1998,0.66
1999,1.01
2000,0.74
2001,0.65
2002,0.91
2003,0.96
2004,0.92
2005,0.83
2006,1.06
2007,1.09
2008,0.98
2009,0.97
2010,0.91
2011,1.12
2012,0.92
2013,1.00
2014,1.04
2015,1.05
2016,1.43
2017,1.52
2018,1.36
2019,1.24
2020,1.45
2021,1.51
2022,1.35
