Global Land Temperature Anomalies, April
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.43
1881,-0.14
1882,-0.77
1883,-0.72
1884,-0.80
1885,-0.64
1886,-0.35
1887,-0.46
1888,-0.15
1889,0.24
1890,-0.27
1891,-0.54
1892,-0.72
1893,-0.53
1894,-0.65
1895,-0.08
1896,-0.80
1897,-0.01
1898,-0.58
1899,-0.07
1900,-0.27
1901,0.06
1902,-0.55
1903,-0.48
1904,-0.58
1905,-0.70
1906,0.21
1907,-0.78
1908,-0.58
1909,-0.94
1910,-0.22
1911,-0.58
1912,-0.32
1913,-0.38
1914,-0.30
1915,0.20
1916,-0.35
1917,-0.64
1918,-0.76
1919,0.07
1920,-0.25
1921,-0.15
1922,-0.03
1923,-0.80
1924,-0.50
1925,0.02
1926,-0.34
1927,-0.43
1928,-0.33
1929,-0.39
1930,-0.31
1931,-0.25
1932,0.30
1933,-0.32
1934,-0.44
1935,-0.64
1936,-0.33
1937,-0.33
1938,0.53
1939,-0.19
1940,0.26
1941,0.19
1942,0.01
1943,0.24
1944,0.01
1945,0.24
1946,0.42
1947,0.27
1948,0.05
1949,0.03
1950,-0.31
1951,-0.11
1952,0.04
1953,0.36
1954,-0.28
1955,-0.45
1956,-0.51
1957,-0.27
1958,0.10
1959,0.26
1960,-0.23
1961,0.18
1962,0.19
1963,-0.17
1964,-0.36
1965,-0.42
1966,-0.28
1967,0.13
1968,-0.04
1969,0.10
1970,0.21
1971,-0.15
1972,0.03
1973,0.50
1974,0.09
1975,0.29
1976,0.09
1977,0.57
1978,0.29
1979,-0.20
1980,0.43
1981,0.69
1982,0.33
1983,0.23
1984,0.09
1985,0.28
1986,0.52
1987,0.33
1988,0.70
1989,0.34
1990,0.80
1991,0.83
1992,0.28
1993,0.37
1994,0.57
1995,0.62
1996,0.08
1997,0.60
1998,1.23
1999,0.77
2000,1.33
2001,0.95
2002,0.77
2003,0.85
2004,0.86
2005,1.31
2006,0.74
2007,1.47
2008,0.82
2009,1.07
2010,1.42
2011,1.21
2012,1.47
2013,0.77
2014,1.35
2015,1.16
2016,1.95
2017,1.40
2018,1.34
2019,1.57
2020,1.63
2021,1.26
2022,1.45
