Global Land Temperature Anomalies, January
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.32
1881,-0.55
1882,0.01
1883,-1.27
1884,-0.56
1885,-1.43
1886,-0.53
1887,-1.13
1888,-0.79
1889,-0.63
1890,-0.66
1891,-0.82
1892,-0.59
1893,-1.92
1894,-0.79
1895,-1.17
1896,-0.24
1897,-0.68
1898,0.25
1899,-0.08
1900,-1.05
1901,-0.42
1902,0.17
1903,-0.19
1904,-0.88
1905,-0.30
1906,-0.25
1907,-0.66
1908,-0.32
1909,-0.95
1910,-0.16
1911,-0.79
1912,-0.42
1913,-0.50
1914,0.82
1915,-0.30
1916,-0.17
1917,-0.52
1918,-0.64
1919,-0.61
1920,-0.06
1921,0.21
1922,-0.66
1923,-0.13
1924,-0.51
1925,-0.50
1926,0.54
1927,-0.50
1928,0.07
1929,-0.94
1930,-0.60
1931,-0.06
1932,0.84
1933,-0.57
1934,-0.38
1935,-0.55
1936,-0.58
1937,-0.49
1938,0.18
1939,0.18
1940,-0.46
1941,0.03
1942,0.33
1943,-0.38
1944,0.80
1945,-0.18
1946,0.33
1947,-0.30
1948,0.62
1949,0.49
1950,-0.77
1951,-0.59
1952,0.30
1953,0.20
1954,-0.68
1955,0.66
1956,-0.41
1957,-0.33
1958,0.76
1959,0.22
1960,0.05
1961,0.30
1962,0.35
1963,0.16
1964,0.12
1965,0.11
1966,-0.16
1967,-0.21
1968,-0.35
1969,-1.05
1970,0.07
1971,0.12
1972,-0.89
1973,0.28
1974,-0.62
1975,0.38
1976,0.26
1977,-0.49
1978,0.16
1979,-0.06
1980,0.19
1981,1.19
1982,-0.13
1983,0.88
1984,0.37
1985,0.31
1986,0.76
1987,0.48
1988,0.81
1989,0.20
1990,0.56
1991,0.69
1992,0.99
1993,0.68
1994,0.48
1995,1.04
1996,0.19
1997,0.52
1998,0.72
1999,1.00
2000,0.51
2001,0.75
2002,1.40
2003,1.33
2004,0.95
2005,1.08
2006,0.69
2007,1.96
2008,0.21
2009,1.05
2010,1.01
2011,0.60
2012,0.63
2013,1.02
2014,1.14
2015,1.46
2016,1.67
2017,1.63
2018,1.16
2019,1.63
2020,2.07
2021,1.32
2022,1.47
