
Year,Value
1880,-0.19
1881,-0.55
1882,-0.54
1883,-0.01
1884,-0.49
1885,-0.60
1886,-0.46
1887,-0.46
1888,-0.37
1889,-0.20
1890,-0.33
1891,-0.47
1892,-0.27
1893,-0.29
1894,-0.48
1895,-0.38
1896,-0.17
1897,-0.14
1898,-0.15
1899,-0.48
1900,0.01
1901,0.06
1902,-0.28
1903,-0.46
1904,-0.38
1905,-0.23
1906,0.04
1907,-0.65
1908,-0.25
1909,-0.42
1910,-0.22
1911,-0.44
1912,-0.12
1913,-0.42
1914,0.00
1915,-0.19
1916,-0.56
1917,-0.56
1918,-0.48
1919,-0.27
1920,-0.39
1921,-0.01
1922,-0.12
1923,-0.22
1924,-0.20
1925,-0.36
1926,-0.15
1927,-0.17
1928,-0.34
1929,-0.51
1930,-0.11
1931,0.05
1932,-0.15
1933,-0.29
1934,-0.02
1935,-0.19
1936,-0.08
1937,0.20
1938,-0.11
1939,0.09
1940,0.09
1941,0.20
1942,0.15
1943,-0.28
1944,0.13
1945,-0.05
1946,-0.23
1947,0.02
1948,0.12
1949,-0.20
1950,-0.12
1951,-0.12
1952,0.00
1953,0.18
1954,-0.07
1955,0.01
1956,-0.22
1957,0.12
1958,-0.07
1959,0.18
1960,0.14
1961,0.16
1962,-0.14
1963,-0.11
1964,-0.16
1965,-0.07
1966,0.18
1967,-0.21
1968,-0.23
1969,-0.04
1970,0.13
1971,-0.17
1972,0.07
1973,0.47
1974,-0.08
1975,0.19
1976,-0.23
1977,0.45
1978,-0.10
1979,0.12
1980,0.25
1981,0.28
1982,-0.02
1983,0.18
1984,0.07
1985,0.11
1986,0.31
1987,0.31
1988,0.64
1989,0.22
1990,0.53
1991,0.71
1992,0.13
1993,0.32
1994,0.64
1995,0.75
1996,0.36
1997,0.64
1998,1.00
1999,0.63
2000,0.62
2001,0.70
2002,0.77
2003,0.70
2004,0.58
2005,1.03
2006,1.05
2007,0.76
2008,0.79
2009,0.78
2010,1.16
2011,1.02
2012,1.22
2013,1.08
2014,0.99
2015,1.30
2016,1.23
2017,1.18
2018,1.12
2019,1.32
2020,1.29
2021,1.42
2022,1.33
