
Year,Value
1880,-0.76
1881,-0.24
1882,-0.22
1883,-0.67
1884,-0.94
1885,-0.50
1886,-0.75
1887,-0.30
1888,-0.78
1889,0.16
1890,-0.52
1891,-0.34
1892,-0.61
1893,-0.24
1894,-0.10
1895,-0.40
1896,-0.72
1897,-0.88
1898,-1.62
1899,-0.68
1900,-0.02
1901,0.16
1902,-0.27
1903,-0.27
1904,-0.75
1905,-0.71
1906,-0.28
1907,-0.53
1908,-1.04
1909,-0.64
1910,-0.56
1911,-0.86
1912,-0.82
1913,-0.77
1914,-0.18
1915,-0.20
1916,-0.60
1917,-1.00
1918,-0.45
1919,-0.53
1920,-0.05
1921,-0.25
1922,-0.11
1923,-0.41
1924,-0.08
1925,-0.14
1926,0.39
1927,-0.57
1928,-0.48
1929,-0.24
1930,0.20
1931,0.00
1932,-0.44
1933,-0.45
1934,-0.46
1935,0.04
1936,-0.26
1937,-0.49
1938,0.32
1939,-0.35
1940,0.06
1941,-0.02
1942,0.01
1943,-0.13
1944,0.34
1945,-0.14
1946,-0.10
1947,0.36
1948,-0.33
1949,-0.16
1950,-0.12
1951,-0.25
1952,-0.32
1953,0.49
1954,-0.20
1955,-0.73
1956,-0.41
1957,-0.31
1958,0.12
1959,0.56
1960,-0.74
1961,0.40
1962,0.33
1963,0.03
1964,-0.30
1965,-0.09
1966,0.11
1967,0.09
1968,0.86
1969,-0.05
1970,-0.13
1971,-0.14
1972,0.02
1973,0.79
1974,0.09
1975,0.42
1976,-0.67
1977,0.66
1978,0.47
1979,0.28
1980,0.02
1981,0.97
1982,-0.14
1983,0.62
1984,0.46
1985,0.28
1986,0.63
1987,0.13
1988,0.75
1989,0.65
1990,1.67
1991,0.41
1992,0.74
1993,0.82
1994,0.72
1995,0.82
1996,0.32
1997,0.78
1998,0.92
1999,0.37
2000,1.08
2001,1.18
2002,1.57
2003,0.85
2004,1.30
2005,1.34
2006,1.17
2007,1.24
2008,1.86
2009,1.00
2010,1.55
2011,0.99
2012,0.89
2013,1.09
2014,1.36
2015,1.69
2016,2.51
2017,1.96
2018,1.60
2019,2.00
2020,2.13
2021,1.59
2022,1.64
