
Year,Value
1880,-0.25
1881,-0.07
1882,-0.58
1883,-0.57
1884,-0.60
1885,-0.60
1886,-0.42
1887,-0.20
1888,-0.42
1889,-0.24
1890,-0.70
1891,-0.41
1892,-0.44
1893,-0.54
1894,-0.32
1895,-0.39
1896,-0.25
1897,0.07
1898,-0.49
1899,-0.22
1900,0.05
1901,-0.09
1902,-0.33
1903,-0.54
1904,-0.30
1905,-0.26
1906,0.04
1907,-0.89
1908,-0.24
1909,-0.64
1910,-0.23
1911,-0.48
1912,-0.15
1913,-0.56
1914,0.07
1915,0.03
1916,-0.38
1917,-0.95
1918,-0.79
1919,-0.43
1920,-0.16
1921,-0.14
1922,-0.26
1923,-0.45
1924,-0.24
1925,-0.26
1926,-0.32
1927,-0.30
1928,-0.18
1929,-0.34
1930,-0.26
1931,-0.33
1932,-0.19
1933,-0.25
1934,0.23
1935,-0.34
1936,-0.02
1937,0.08
1938,0.17
1939,0.16
1940,-0.02
1941,0.16
1942,-0.02
1943,0.18
1944,0.08
1945,-0.10
1946,-0.01
1947,0.01
1948,0.21
1949,0.11
1950,-0.02
1951,0.16
1952,0.03
1953,0.18
1954,-0.37
1955,-0.10
1956,-0.42
1957,-0.07
1958,0.17
1959,-0.08
1960,-0.43
1961,0.24
1962,0.00
1963,-0.19
1964,-0.10
1965,-0.10
1966,-0.03
1967,0.33
1968,-0.22
1969,0.04
1970,0.01
1971,-0.09
1972,-0.06
1973,0.35
1974,-0.05
1975,0.23
1976,-0.17
1977,0.42
1978,0.04
1979,0.09
1980,0.48
1981,0.31
1982,0.14
1983,0.32
1984,0.60
1985,0.29
1986,0.44
1987,0.43
1988,0.55
1989,0.37
1990,0.59
1991,0.47
1992,0.29
1993,0.38
1994,0.66
1995,0.48
1996,0.56
1997,0.42
1998,0.98
1999,0.63
2000,0.72
2001,1.03
2002,0.79
2003,0.95
2004,0.47
2005,0.98
2006,0.68
2007,1.11
2008,0.83
2009,0.75
2010,1.20
2011,0.81
2012,1.33
2013,1.12
2014,1.18
2015,1.32
2016,1.31
2017,1.28
2018,1.25
2019,1.16
2020,1.40
2021,1.27
2022,1.13
