
Year,Value
1880,-0.47
1881,-0.47
1882,-0.29
1883,-0.52
1884,-0.77
1885,-0.48
1886,-0.37
1887,-0.22
1888,-0.26
1889,-0.36
1890,-0.45
1891,-0.23
1892,-0.24
1893,-0.18
1894,-0.41
1895,-0.22
1896,-0.26
1897,0.05
1898,-0.27
1899,0.02
1900,-0.10
1901,-0.19
1902,-0.28
1903,-0.41
1904,-0.52
1905,-0.14
1906,-0.23
1907,-0.36
1908,-0.14
1909,-0.17
1910,-0.32
1911,-0.40
1912,-0.75
1913,-0.28
1914,-0.19
1915,-0.26
1916,-0.40
1917,-0.28
1918,-0.21
1919,-0.20
1920,-0.30
1921,-0.23
1922,-0.34
1923,-0.27
1924,-0.18
1925,-0.10
1926,-0.08
1927,0.15
1928,-0.09
1929,-0.25
1930,-0.28
1931,0.21
1932,0.17
1933,-0.29
1934,-0.35
1935,-0.07
1936,-0.07
1937,0.28
1938,0.29
1939,-0.08
1940,0.23
1941,-0.17
1942,0.09
1943,0.00
1944,0.42
1945,0.14
1946,-0.04
1947,0.03
1948,0.05
1949,-0.15
1950,-0.11
1951,0.31
1952,0.16
1953,0.16
1954,0.08
1955,-0.02
1956,-0.41
1957,0.13
1958,-0.14
1959,0.12
1960,0.07
1961,0.02
1962,0.01
1963,0.32
1964,-0.30
1965,-0.16
1966,0.09
1967,-0.10
1968,-0.21
1969,-0.07
1970,0.03
1971,0.11
1972,-0.22
1973,0.06
1974,-0.17
1975,0.22
1976,-0.06
1977,0.16
1978,0.01
1979,0.19
1980,0.20
1981,0.14
1982,0.23
1983,0.50
1984,-0.09
1985,-0.05
1986,0.03
1987,0.48
1988,0.52
1989,0.27
1990,0.30
1991,0.48
1992,-0.26
1993,0.04
1994,0.48
1995,0.66
1996,0.11
1997,0.76
1998,0.83
1999,0.66
2000,0.51
2001,0.69
2002,0.84
2003,0.88
2004,0.67
2005,1.11
2006,0.88
2007,1.02
2008,0.70
2009,1.15
2010,0.89
2011,0.97
2012,1.10
2013,0.95
2014,0.97
2015,1.24
2016,1.38
2017,1.25
2018,1.08
2019,1.37
2020,1.46
2021,1.35
2022,1.23
