Global Ocean Temperature Anomalies, April
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,0.07
1881,0.11
1882,0.01
1883,-0.04
1884,-0.13
1885,-0.19
1886,-0.13
1887,-0.21
1888,-0.12
1889,0.03
1890,-0.27
1891,-0.13
1892,-0.18
1893,-0.28
1894,-0.29
1895,-0.23
1896,-0.03
1897,0.07
1898,-0.31
1899,-0.23
1900,-0.03
1901,-0.10
1902,-0.17
1903,-0.32
1904,-0.46
1905,-0.28
1906,-0.17
1907,-0.20
1908,-0.39
1909,-0.48
1910,-0.44
1911,-0.53
1912,-0.16
1913,-0.38
1914,-0.24
1915,-0.03
1916,-0.22
1917,-0.40
1918,-0.27
1919,-0.12
1920,-0.16
1921,-0.24
1922,-0.21
1923,-0.23
1924,-0.13
1925,-0.26
1926,-0.05
1927,-0.18
1928,-0.21
1929,-0.31
1930,-0.16
1931,-0.09
1932,-0.16
1933,-0.16
1934,-0.20
1935,-0.15
1936,-0.11
1937,-0.05
1938,-0.11
1939,-0.07
1940,0.17
1941,0.32
1942,0.23
1943,0.06
1944,0.36
1945,0.34
1946,0.06
1947,-0.02
1948,-0.08
1949,-0.04
1950,-0.12
1951,-0.07
1952,0.10
1953,0.19
1954,-0.06
1955,-0.14
1956,-0.18
1957,0.13
1958,0.11
1959,0.06
1960,0.00
1961,0.14
1962,0.07
1963,0.10
1964,-0.15
1965,-0.09
1966,0.01
1967,-0.04
1968,-0.08
1969,0.21
1970,0.10
1971,-0.09
1972,0.08
1973,0.20
1974,-0.10
1975,0.00
1976,-0.05
1977,0.17
1978,0.07
1979,0.22
1980,0.28
1981,0.23
1982,0.18
1983,0.31
1984,0.16
1985,0.09
1986,0.17
1987,0.29
1988,0.37
1989,0.27
1990,0.43
1991,0.40
1992,0.31
1993,0.28
1994,0.28
1995,0.39
1996,0.33
1997,0.35
1998,0.59
1999,0.35
2000,0.37
2001,0.45
2002,0.50
2003,0.48
2004,0.50
2005,0.49
2006,0.44
2007,0.45
2008,0.36
2009,0.46
2010,0.64
2011,0.41
2012,0.46
2013,0.51
2014,0.60
2015,0.67
2016,0.81
2017,0.73
2018,0.66
2019,0.74
2020,0.83
2021,0.62
2022,0.63
