
Year,Value
1880,0.00
1881,0.04
1882,0.08
1883,-0.03
1884,0.00
1885,-0.17
1886,-0.14
1887,-0.33
1888,-0.14
1889,0.06
1890,-0.22
1891,-0.24
1892,-0.06
1893,-0.24
1894,-0.28
1895,-0.16
1896,-0.06
1897,0.09
1898,-0.15
1899,-0.18
1900,0.03
1901,-0.04
1902,-0.23
1903,-0.23
1904,-0.54
1905,-0.35
1906,-0.09
1907,-0.32
1908,-0.34
1909,-0.44
1910,-0.42
1911,-0.50
1912,-0.17
1913,-0.28
1914,-0.18
1915,-0.03
1916,-0.12
1917,-0.42
1918,-0.25
1919,-0.06
1920,-0.19
1921,-0.19
1922,-0.17
1923,-0.31
1924,-0.14
1925,-0.34
1926,-0.11
1927,-0.16
1928,-0.16
1929,-0.32
1930,-0.24
1931,-0.05
1932,-0.10
1933,-0.16
1934,-0.29
1935,-0.14
1936,-0.12
1937,-0.04
1938,-0.07
1939,-0.15
1940,0.15
1941,0.38
1942,0.23
1943,0.04
1944,0.25
1945,0.39
1946,0.07
1947,-0.04
1948,-0.13
1949,-0.03
1950,-0.14
1951,-0.17
1952,0.12
1953,0.10
1954,0.00
1955,-0.12
1956,-0.10
1957,0.04
1958,0.16
1959,0.09
1960,0.04
1961,0.12
1962,0.04
1963,0.03
1964,-0.02
1965,-0.11
1966,-0.03
1967,-0.10
1968,-0.14
1969,0.22
1970,0.11
1971,-0.12
1972,0.07
1973,0.26
1974,-0.10
1975,0.02
1976,-0.09
1977,0.23
1978,0.12
1979,0.12
1980,0.37
1981,0.22
1982,0.20
1983,0.35
1984,0.24
1985,0.20
1986,0.21
1987,0.25
1988,0.47
1989,0.23
1990,0.33
1991,0.32
1992,0.28
1993,0.26
1994,0.20
1995,0.41
1996,0.34
1997,0.32
1998,0.56
1999,0.33
2000,0.36
2001,0.37
2002,0.45
2003,0.46
2004,0.52
2005,0.48
2006,0.47
2007,0.51
2008,0.28
2009,0.37
2010,0.65
2011,0.40
2012,0.42
2013,0.46
2014,0.53
2015,0.57
2016,0.83
2017,0.74
2018,0.60
2019,0.73
2020,0.76
2021,0.54
2022,0.63
