
Year,Value
1880,0.01
1881,0.05
1882,0.10
1883,0.00
1884,-0.13
1885,-0.17
1886,-0.08
1887,-0.35
1888,-0.18
1889,0.17
1890,-0.22
1891,-0.22
1892,-0.09
1893,-0.25
1894,-0.27
1895,-0.13
1896,-0.12
1897,0.09
1898,-0.09
1899,-0.15
1900,-0.06
1901,-0.04
1902,-0.21
1903,-0.26
1904,-0.50
1905,-0.37
1906,-0.09
1907,-0.26
1908,-0.40
1909,-0.44
1910,-0.43
1911,-0.45
1912,-0.22
1913,-0.30
1914,-0.16
1915,-0.10
1916,-0.12
1917,-0.53
1918,-0.19
1919,-0.04
1920,-0.27
1921,-0.19
1922,-0.18
1923,-0.29
1924,-0.11
1925,-0.37
1926,-0.03
1927,-0.13
1928,-0.14
1929,-0.31
1930,-0.23
1931,-0.02
1932,-0.12
1933,-0.17
1934,-0.26
1935,-0.16
1936,-0.15
1937,-0.05
1938,-0.04
1939,-0.22
1940,0.22
1941,0.38
1942,0.28
1943,0.13
1944,0.22
1945,0.34
1946,0.22
1947,-0.10
1948,-0.15
1949,-0.02
1950,-0.10
1951,-0.16
1952,0.06
1953,0.04
1954,-0.01
1955,-0.06
1956,-0.04
1957,0.00
1958,0.16
1959,0.13
1960,0.03
1961,0.06
1962,0.04
1963,0.02
1964,-0.03
1965,-0.14
1966,-0.02
1967,-0.05
1968,-0.15
1969,0.25
1970,0.16
1971,-0.04
1972,-0.01
1973,0.27
1974,-0.04
1975,0.00
1976,-0.13
1977,0.35
1978,0.16
1979,0.22
1980,0.37
1981,0.26
1982,0.23
1983,0.39
1984,0.26
1985,0.19
1986,0.15
1987,0.26
1988,0.47
1989,0.15
1990,0.28
1991,0.33
1992,0.26
1993,0.24
1994,0.18
1995,0.38
1996,0.27
1997,0.27
1998,0.55
1999,0.32
2000,0.27
2001,0.36
2002,0.45
2003,0.48
2004,0.48
2005,0.49
2006,0.43
2007,0.53
2008,0.29
2009,0.43
2010,0.63
2011,0.41
2012,0.37
2013,0.47
2014,0.53
2015,0.59
2016,0.91
2017,0.73
2018,0.59
2019,0.68
2020,0.79
2021,0.57
2022,0.66
