
Year,Value
1880,-0.08
1881,0.02
1882,-0.01
1883,-0.03
1884,-0.20
1885,-0.18
1886,-0.19
1887,-0.21
1888,-0.08
1889,-0.09
1890,-0.32
1891,-0.12
1892,-0.41
1893,-0.23
1894,-0.25
1895,-0.18
1896,0.00
1897,-0.04
1898,-0.22
1899,-0.14
1900,-0.06
1901,-0.20
1902,-0.29
1903,-0.39
1904,-0.49
1905,-0.24
1906,-0.24
1907,-0.29
1908,-0.45
1909,-0.50
1910,-0.43
1911,-0.49
1912,-0.29
1913,-0.36
1914,-0.22
1915,-0.11
1916,-0.32
1917,-0.19
1918,-0.25
1919,-0.32
1920,-0.26
1921,-0.16
1922,-0.29
1923,-0.26
1924,-0.27
1925,-0.16
1926,-0.15
1927,-0.16
1928,-0.17
1929,-0.27
1930,-0.14
1931,-0.09
1932,-0.21
1933,-0.22
1934,-0.08
1935,-0.20
1936,-0.16
1937,0.01
1938,-0.12
1939,-0.03
1940,0.17
1941,0.29
1942,0.08
1943,0.15
1944,0.39
1945,0.26
1946,-0.10
1947,-0.01
1948,-0.10
1949,-0.06
1950,-0.01
1951,0.15
1952,0.04
1953,0.13
1954,-0.13
1955,-0.07
1956,-0.08
1957,0.21
1958,0.10
1959,0.07
1960,0.11
1961,0.10
1962,0.18
1963,0.11
1964,-0.05
1965,-0.04
1966,0.07
1967,0.04
1968,0.04
1969,0.10
1970,-0.01
1971,-0.02
1972,0.13
1973,0.13
1974,0.01
1975,0.01
1976,-0.01
1977,0.18
1978,0.11
1979,0.23
1980,0.23
1981,0.26
1982,0.15
1983,0.28
1984,0.18
1985,0.17
1986,0.21
1987,0.39
1988,0.31
1989,0.33
1990,0.42
1991,0.40
1992,0.23
1993,0.26
1994,0.30
1995,0.38
1996,0.29
1997,0.50
1998,0.59
1999,0.30
2000,0.34
2001,0.51
2002,0.49
2003,0.54
2004,0.49
2005,0.55
2006,0.52
2007,0.47
2008,0.49
2009,0.64
2010,0.58
2011,0.50
2012,0.57
2013,0.60
2014,0.68
2015,0.77
2016,0.82
2017,0.78
2018,0.68
2019,0.83
2020,0.80
2021,0.75
2022,0.72
