Global Ocean Temperature Anomalies, June
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.11
1881,0.02
1882,-0.02
1883,0.00
1884,-0.19
1885,-0.23
1886,-0.18
1887,-0.18
1888,-0.03
1889,-0.03
1890,-0.28
1891,-0.09
1892,-0.31
1893,-0.26
1894,-0.33
1895,-0.24
1896,-0.06
1897,-0.06
1898,-0.21
1899,-0.19
1900,-0.06
1901,-0.13
1902,-0.31
1903,-0.36
1904,-0.47
1905,-0.25
1906,-0.22
1907,-0.27
1908,-0.42
1909,-0.48
1910,-0.38
1911,-0.49
1912,-0.26
1913,-0.37
1914,-0.26
1915,-0.12
1916,-0.33
1917,-0.32
1918,-0.28
1919,-0.29
1920,-0.19
1921,-0.23
1922,-0.33
1923,-0.25
1924,-0.21
1925,-0.19
1926,-0.09
1927,-0.20
1928,-0.24
1929,-0.29
1930,-0.14
1931,-0.05
1932,-0.20
1933,-0.24
1934,-0.03
1935,-0.19
1936,-0.17
1937,-0.03
1938,-0.11
1939,-0.04
1940,0.15
1941,0.27
1942,0.16
1943,0.11
1944,0.39
1945,0.24
1946,-0.10
1947,0.04
1948,-0.05
1949,-0.15
1950,-0.01
1951,0.11
1952,0.07
1953,0.18
1954,-0.11
1955,-0.16
1956,-0.11
1957,0.19
1958,0.14
1959,0.08
1960,0.06
1961,0.15
1962,0.11
1963,0.11
1964,-0.03
1965,-0.03
1966,0.03
1967,0.04
1968,0.05
1969,0.12
1970,0.01
1971,-0.11
1972,0.07
1973,0.14
1974,-0.02
1975,0.00
1976,-0.02
1977,0.20
1978,0.11
1979,0.25
1980,0.26
1981,0.31
1982,0.20
1983,0.34
1984,0.16
1985,0.17
1986,0.22
1987,0.33
1988,0.32
1989,0.28
1990,0.38
1991,0.40
1992,0.32
1993,0.34
1994,0.31
1995,0.35
1996,0.34
1997,0.49
1998,0.62
1999,0.33
2000,0.30
2001,0.49
2002,0.53
2003,0.50
2004,0.44
2005,0.53
2006,0.52
2007,0.47
2008,0.44
2009,0.63
2010,0.59
2011,0.50
2012,0.53
2013,0.54
2014,0.68
2015,0.76
2016,0.82
2017,0.71
2018,0.66
2019,0.81
2020,0.78
2021,0.69
2022,0.72
