Global Ocean Temperature Anomalies, March
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,0.08
1881,0.11
1882,0.04
1883,-0.04
1884,-0.10
1885,-0.19
1886,-0.16
1887,-0.21
1888,-0.15
1889,0.13
1890,-0.24
1891,-0.19
1892,-0.12
1893,-0.22
1894,-0.34
1895,-0.28
1896,-0.04
1897,0.17
1898,-0.29
1899,-0.20
1900,-0.04
1901,-0.11
1902,-0.21
1903,-0.25
1904,-0.50
1905,-0.26
1906,-0.13
1907,-0.22
1908,-0.41
1909,-0.45
1910,-0.48
1911,-0.49
1912,-0.12
1913,-0.35
1914,-0.19
1915,-0.04
1916,-0.15
1917,-0.47
1918,-0.24
1919,-0.06
1920,-0.10
1921,-0.26
1922,-0.11
1923,-0.30
1924,-0.09
1925,-0.28
1926,-0.08
1927,-0.21
1928,-0.18
1929,-0.33
1930,-0.19
1931,-0.02
1932,-0.09
1933,-0.21
1934,-0.26
1935,-0.23
1936,-0.14
1937,-0.06
1938,-0.08
1939,-0.11
1940,0.12
1941,0.27
1942,0.20
1943,0.03
1944,0.36
1945,0.23
1946,0.09
1947,-0.10
1948,-0.12
1949,-0.01
1950,-0.09
1951,-0.11
1952,0.10
1953,0.08
1954,-0.05
1955,-0.13
1956,-0.09
1957,0.04
1958,0.16
1959,0.07
1960,0.03
1961,0.08
1962,0.10
1963,-0.04
1964,-0.11
1965,-0.09
1966,-0.03
1967,-0.01
1968,-0.12
1969,0.18
1970,0.12
1971,-0.10
1972,0.02
1973,0.21
1974,-0.08
1975,0.00
1976,-0.06
1977,0.17
1978,0.14
1979,0.21
1980,0.37
1981,0.25
1982,0.18
1983,0.35
1984,0.24
1985,0.16
1986,0.17
1987,0.32
1988,0.44
1989,0.23
1990,0.43
1991,0.34
1992,0.32
1993,0.25
1994,0.25
1995,0.38
1996,0.35
1997,0.39
1998,0.58
1999,0.41
2000,0.35
2001,0.44
2002,0.54
2003,0.51
2004,0.48
2005,0.51
2006,0.44
2007,0.45
2008,0.33
2009,0.41
2010,0.62
2011,0.45
2012,0.37
2013,0.51
2014,0.54
2015,0.63
2016,0.86
2017,0.76
2018,0.63
2019,0.76
2020,0.82
2021,0.57
2022,0.68
