
Year,Value
1880,-0.05
1881,0.06
1882,-0.02
1883,-0.05
1884,-0.12
1885,-0.22
1886,-0.11
1887,-0.27
1888,-0.07
1889,0.05
1890,-0.27
1891,-0.08
1892,-0.19
1893,-0.23
1894,-0.35
1895,-0.23
1896,-0.08
1897,-0.02
1898,-0.21
1899,-0.16
1900,-0.10
1901,-0.12
1902,-0.28
1903,-0.37
1904,-0.51
1905,-0.26
1906,-0.32
1907,-0.30
1908,-0.44
1909,-0.43
1910,-0.34
1911,-0.54
1912,-0.22
1913,-0.34
1914,-0.23
1915,-0.10
1916,-0.29
1917,-0.40
1918,-0.30
1919,-0.17
1920,-0.17
1921,-0.27
1922,-0.32
1923,-0.21
1924,-0.12
1925,-0.20
1926,-0.05
1927,-0.19
1928,-0.22
1929,-0.31
1930,-0.15
1931,-0.07
1932,-0.15
1933,-0.22
1934,-0.17
1935,-0.17
1936,-0.15
1937,-0.06
1938,-0.11
1939,-0.09
1940,0.20
1941,0.34
1942,0.21
1943,0.06
1944,0.33
1945,0.32
1946,-0.03
1947,-0.02
1948,0.00
1949,-0.08
1950,-0.05
1951,0.04
1952,0.05
1953,0.17
1954,-0.09
1955,-0.15
1956,-0.17
1957,0.22
1958,0.06
1959,0.12
1960,0.11
1961,0.14
1962,0.09
1963,0.13
1964,-0.08
1965,-0.07
1966,-0.04
1967,0.08
1968,-0.04
1969,0.24
1970,0.07
1971,-0.07
1972,0.05
1973,0.18
1974,-0.01
1975,0.02
1976,-0.11
1977,0.20
1978,0.09
1979,0.20
1980,0.32
1981,0.25
1982,0.23
1983,0.31
1984,0.19
1985,0.18
1986,0.20
1987,0.34
1988,0.35
1989,0.25
1990,0.42
1991,0.38
1992,0.34
1993,0.34
1994,0.30
1995,0.33
1996,0.32
1997,0.42
1998,0.60
1999,0.31
2000,0.32
2001,0.46
2002,0.51
2003,0.50
2004,0.43
2005,0.54
2006,0.50
2007,0.42
2008,0.40
2009,0.52
2010,0.60
2011,0.45
2012,0.52
2013,0.52
2014,0.66
2015,0.74
2016,0.80
2017,0.72
2018,0.65
2019,0.75
2020,0.78
2021,0.64
2022,0.65
