
Year,Value
1880,-0.09
1881,-0.12
1882,-0.04
1883,-0.08
1884,-0.15
1885,-0.11
1886,-0.17
1887,-0.21
1888,0.10
1889,-0.12
1890,-0.36
1891,-0.13
1892,-0.29
1893,-0.22
1894,-0.21
1895,-0.07
1896,0.04
1897,-0.16
1898,-0.26
1899,-0.10
1900,0.02
1901,-0.27
1902,-0.23
1903,-0.46
1904,-0.38
1905,-0.24
1906,-0.30
1907,-0.31
1908,-0.48
1909,-0.42
1910,-0.42
1911,-0.33
1912,-0.38
1913,-0.29
1914,-0.12
1915,-0.14
1916,-0.23
1917,-0.18
1918,-0.17
1919,-0.24
1920,-0.15
1921,-0.01
1922,-0.25
1923,-0.24
1924,-0.33
1925,-0.11
1926,-0.13
1927,-0.13
1928,-0.21
1929,-0.20
1930,0.03
1931,-0.12
1932,-0.21
1933,-0.23
1934,-0.06
1935,-0.08
1936,-0.06
1937,0.01
1938,-0.03
1939,0.08
1940,0.20
1941,0.47
1942,0.01
1943,0.18
1944,0.28
1945,0.30
1946,0.02
1947,-0.13
1948,-0.14
1949,-0.11
1950,-0.12
1951,0.11
1952,0.11
1953,0.08
1954,-0.11
1955,-0.21
1956,-0.11
1957,0.06
1958,0.11
1959,0.07
1960,0.08
1961,0.06
1962,0.10
1963,0.07
1964,-0.16
1965,-0.03
1966,-0.04
1967,0.00
1968,0.12
1969,0.14
1970,0.06
1971,-0.09
1972,0.16
1973,0.06
1974,0.02
1975,-0.12
1976,0.07
1977,0.19
1978,0.07
1979,0.28
1980,0.16
1981,0.23
1982,0.27
1983,0.23
1984,0.18
1985,0.18
1986,0.27
1987,0.41
1988,0.25
1989,0.26
1990,0.37
1991,0.25
1992,0.11
1993,0.22
1994,0.34
1995,0.32
1996,0.25
1997,0.58
1998,0.40
1999,0.24
2000,0.36
2001,0.49
2002,0.48
2003,0.58
2004,0.52
2005,0.49
2006,0.53
2007,0.39
2008,0.46
2009,0.57
2010,0.45
2011,0.41
2012,0.57
2013,0.56
2014,0.66
2015,0.87
2016,0.76
2017,0.70
2018,0.77
2019,0.77
2020,0.69
2021,0.70
2022,0.70
