Raleigh, North Carolina, Average Temperature, February-January
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
194601,60.1,0.1
194701,60.5,0.5
194801,57.3,-2.7
194901,60.7,0.7
195001,61.2,1.2
195101,58.7,-1.3
195201,60.0,0.0
195301,59.8,-0.2
195401,60.5,0.5
195501,59.9,-0.1
195601,59.6,-0.4
195701,60.1,0.1
195801,59.7,-0.3
195901,57.7,-2.3
196001,60.0,0.0
196101,57.5,-2.5
196201,58.9,-1.1
196301,58.0,-2.0
196401,57.9,-2.1
196501,58.8,-1.2
196601,58.7,-1.3
196701,58.5,-1.5
196801,57.2,-2.8
196901,58.2,-1.8
197001,57.3,-2.7
197101,59.0,-1.0
197201,60.1,0.1
197301,58.2,-1.8
197401,60.8,0.8
197501,59.4,-0.6
197601,59.3,-0.7
197701,58.2,-1.8
197801,59.8,-0.2
197901,58.3,-1.7
198001,58.8,-1.2
198101,58.6,-1.4
198201,58.0,-2.0
198301,59.8,-0.2
198401,58.9,-1.1
198501,59.4,-0.6
198601,60.5,0.5
198701,61.1,1.1
198801,59.6,-0.4
198901,59.5,-0.5
199001,59.7,-0.3
199101,62.4,2.4
199201,62.0,2.0
199301,59.5,-0.5
199401,59.6,-0.4
199501,61.0,1.0
199601,59.8,-0.2
199701,59.5,-0.5
199801,60.0,0.0
199901,62.3,2.3
200001,60.9,0.9
200101,59.8,-0.2
200201,61.5,1.5
200301,60.9,0.9
200401,60.1,0.1
200501,61.5,1.5
200601,61.4,1.4
200701,61.2,1.2
200801,62.0,2.0
200901,61.0,1.0
201001,60.8,0.8
201101,60.9,0.9
201201,62.9,2.9
201301,62.1,2.1
201401,59.1,-0.9
201501,59.8,-0.2
201601,61.7,1.7
201701,63.0,3.0
201801,61.9,1.9
201901,61.8,1.8
202001,62.8,2.8
202101,62.0,2.0
202201,61.7,1.7
