Date,Value,Anomaly
194504,62.6,2.7
194604,58.6,-1.3
194704,60.6,0.7
194804,60.9,1.0
194904,57.1,-2.8
195004,57.2,-2.7
195104,57.9,-2.0
195204,58.8,-1.1
195304,58.9,-1.0
195404,63.6,3.7
195504,63.1,3.2
195604,57.2,-2.7
195704,63.0,3.1
195804,59.1,-0.8
195904,60.7,0.8
196004,62.1,2.2
196104,53.6,-6.3
196204,57.4,-2.5
196304,60.5,0.6
196404,59.6,-0.3
196504,58.2,-1.7
196604,56.4,-3.5
196704,61.1,1.2
196804,59.1,-0.8
196904,59.7,-0.2
197004,60.2,0.3
197104,57.2,-2.7
197204,58.2,-1.7
197304,58.1,-1.8
197404,60.4,0.5
197504,56.0,-3.9
197604,60.9,1.0
197704,62.7,2.8
197804,59.2,-0.7
197904,60.5,0.6
198004,60.5,0.6
198104,62.4,2.5
198204,56.9,-3.0
198304,55.6,-4.3
198404,56.5,-3.4
198504,62.6,2.7
198604,61.4,1.5
198704,57.2,-2.7
198804,58.0,-1.9
198904,58.1,-1.8
199004,60.4,0.5
199104,62.4,2.5
199204,59.3,-0.6
199304,57.0,-2.9
199404,63.8,3.9
199504,61.1,1.2
199604,59.3,-0.6
199704,55.9,-4.0
199804,59.6,-0.3
199904,62.2,2.3
200004,58.1,-1.8
200104,61.3,1.4
200204,63.8,3.9
200304,58.7,-1.2
200404,60.9,1.0
200504,59.3,-0.6
200604,62.9,3.0
200704,59.6,-0.3
200804,60.1,0.2
200904,62.1,2.2
201004,62.7,2.8
201104,63.3,3.4
201204,59.5,-0.4
201304,60.5,0.6
201404,60.2,0.3
201504,61.5,1.6
201604,60.7,0.8
201704,66.5,6.6
201804,57.2,-2.7
201904,61.8,1.9
202004,59.4,-0.5
202104,60.3,0.4
202204,62.0,2.1
