Date,Value,Anomaly
194408,75.3,-2.3
194508,75.5,-2.1
194608,73.8,-3.8
194708,78.1,0.5
194808,76.3,-1.3
194908,77.5,-0.1
195008,76.0,-1.6
195108,78.0,0.4
195208,76.7,-0.9
195308,77.6,0.0
195408,77.4,-0.2
195508,78.3,0.7
195608,77.1,-0.5
195708,75.4,-2.2
195808,76.8,-0.8
195908,78.6,1.0
196008,77.5,-0.1
196108,76.5,-1.1
196208,75.8,-1.8
196308,76.3,-1.3
196408,74.8,-2.8
196508,77.2,-0.4
196608,76.2,-1.4
196708,74.9,-2.7
196808,79.5,1.9
196908,74.6,-3.0
197008,76.2,-1.4
197108,75.5,-2.1
197208,75.8,-1.8
197308,76.8,-0.8
197408,76.2,-1.4
197508,78.5,0.9
197608,75.6,-2.0
197708,78.5,0.9
197808,78.4,0.8
197908,77.4,-0.2
198008,79.7,2.1
198108,74.5,-3.1
198208,75.6,-2.0
198308,79.7,2.1
198408,77.1,-0.5
198508,75.7,-1.9
198608,75.9,-1.7
198708,79.4,1.8
198808,80.6,3.0
198908,76.3,-1.3
199008,78.1,0.5
199108,77.9,0.3
199208,74.2,-3.4
199308,78.3,0.7
199408,76.1,-1.5
199508,80.7,3.1
199608,76.6,-1.0
199708,77.3,-0.3
199808,78.5,0.9
199908,80.7,3.1
200008,76.6,-1.0
200108,80.1,2.5
200208,78.8,1.2
200308,79.4,1.8
200408,75.8,-1.8
200508,80.4,2.8
200608,80.6,3.0
200708,83.9,6.3
200808,78.2,0.6
200908,80.0,2.4
201008,80.9,3.3
201108,79.4,1.8
201208,78.0,0.4
201308,76.0,-1.6
201408,75.9,-1.7
201508,78.0,0.4
201608,82.1,4.5
201708,78.8,1.2
201808,78.9,1.3
201908,78.4,0.8
202008,79.8,2.2
202108,80.8,3.2
202208,79.9,2.3
