Raleigh, North Carolina, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
194502,43.1,-0.3
194602,44.9,1.5
194702,34.7,-8.7
194802,40.9,-2.5
194902,47.8,4.4
195002,44.0,0.6
195102,43.4,0.0
195202,43.8,0.4
195302,44.8,1.4
195402,47.2,3.8
195502,43.6,0.2
195602,45.9,2.5
195702,47.1,3.7
195802,35.5,-7.9
195902,43.7,0.3
196002,40.5,-2.9
196102,44.9,1.5
196202,43.9,0.5
196302,36.1,-7.3
196402,39.4,-4.0
196502,42.8,-0.6
196602,41.7,-1.7
196702,38.5,-4.9
196802,35.7,-7.7
196902,41.0,-2.4
197002,39.7,-3.7
197102,42.9,-0.5
197202,40.2,-3.2
197302,40.2,-3.2
197402,43.1,-0.3
197502,44.0,0.6
197602,50.3,6.9
197702,41.5,-1.9
197802,33.9,-9.5
197902,35.2,-8.2
198002,38.0,-5.4
198102,43.7,0.3
198202,45.6,2.2
198302,41.2,-2.2
198402,46.3,2.9
198502,42.5,-0.9
198602,44.7,1.3
198702,40.7,-2.7
198802,42.2,-1.2
198902,43.0,-0.4
199002,51.1,7.7
199102,47.0,3.6
199202,46.3,2.9
199302,41.0,-2.4
199402,44.4,1.0
199502,41.1,-2.3
199602,43.3,-0.1
199702,47.2,3.8
199802,46.8,3.4
199902,46.4,3.0
200002,46.6,3.2
200102,47.7,4.3
200202,45.1,1.7
200302,41.6,-1.8
200402,41.9,-1.5
200502,44.8,1.4
200602,43.7,0.3
200702,40.5,-2.9
200802,47.5,4.1
200902,45.8,2.4
201002,37.3,-6.1
201102,47.6,4.2
201202,46.6,3.2
201302,42.2,-1.2
201402,43.5,0.1
201502,34.9,-8.5
201602,43.8,0.4
201702,53.3,9.9
201802,52.4,9.0
201902,47.6,4.2
202002,48.2,4.8
202102,42.4,-1.0
202202,47.9,4.5
