Date,Value,Anomaly
194501,38.2,-2.3
194601,40.5,0.0
194701,45.6,5.1
194801,33.7,-6.8
194901,48.4,7.9
195001,51.3,10.8
195101,42.2,1.7
195201,46.0,5.5
195301,45.8,5.3
195401,42.0,1.5
195501,38.8,-1.7
195601,38.9,-1.6
195701,40.7,0.2
195801,35.9,-4.6
195901,39.6,-0.9
196001,41.5,1.0
196101,36.5,-4.0
196201,38.7,-1.8
196301,36.7,-3.8
196401,41.1,0.6
196501,40.4,-0.1
196601,35.2,-5.3
196701,43.5,3.0
196801,36.0,-4.5
196901,36.6,-3.9
197001,33.7,-6.8
197101,37.8,-2.7
197201,44.9,4.4
197301,39.5,-1.0
197401,49.5,9.0
197501,44.0,3.5
197601,37.9,-2.6
197701,29.2,-11.3
197801,34.4,-6.1
197901,38.1,-2.4
198001,40.9,0.4
198101,34.4,-6.1
198201,34.0,-6.5
198301,38.7,-1.8
198401,36.9,-3.6
198501,34.6,-5.9
198601,39.1,-1.4
198701,38.6,-1.9
198801,35.0,-5.5
198901,44.9,4.4
199001,48.2,7.7
199101,42.0,1.5
199201,43.5,3.0
199301,43.4,2.9
199401,37.1,-3.4
199501,43.1,2.6
199601,38.5,-2.0
199701,41.4,0.9
199801,45.4,4.9
199901,46.5,6.0
200001,39.1,-1.4
200101,42.1,1.6
200201,43.2,2.7
200301,37.2,-3.3
200401,38.5,-2.0
200501,43.8,3.3
200601,48.0,7.5
200701,45.4,4.9
200801,41.3,0.8
200901,39.8,-0.7
201001,37.6,-2.9
201101,37.5,-3.0
201201,45.4,4.9
201301,44.4,3.9
201401,36.8,-3.7
201501,39.8,-0.7
201601,39.3,-1.2
201701,46.5,6.0
201801,36.9,-3.6
201901,42.1,1.6
202001,47.0,6.5
202101,41.0,0.5
202201,39.8,-0.7
