Date,Value,Anomaly
194406,78.2,2.8
194506,77.1,1.7
194606,74.3,-1.1
194706,74.4,-1.0
194806,75.9,0.5
194906,76.4,1.0
195006,75.2,-0.2
195106,76.2,0.8
195206,80.1,4.7
195306,74.9,-0.5
195406,75.3,-0.1
195506,71.0,-4.4
195606,74.9,-0.5
195706,75.6,0.2
195806,72.8,-2.6
195906,74.3,-1.1
196006,75.0,-0.4
196106,72.7,-2.7
196206,73.4,-2.0
196306,72.7,-2.7
196406,75.6,0.2
196506,71.8,-3.6
196606,72.8,-2.6
196706,71.3,-4.1
196806,73.5,-1.9
196906,75.4,0.0
197006,73.5,-1.9
197106,76.2,0.8
197206,70.2,-5.2
197306,75.3,-0.1
197406,72.0,-3.4
197506,73.9,-1.5
197606,74.9,-0.5
197706,73.1,-2.3
197806,74.5,-0.9
197906,71.2,-4.2
198006,73.9,-1.5
198106,78.4,3.0
198206,73.3,-2.1
198306,73.0,-2.4
198406,76.0,0.6
198506,74.4,-1.0
198606,78.7,3.3
198706,76.6,1.2
198806,72.6,-2.8
198906,77.1,1.7
199006,75.3,-0.1
199106,75.9,0.5
199206,72.1,-3.3
199306,76.2,0.8
199406,77.1,1.7
199506,73.9,-1.5
199606,76.8,1.4
199706,72.2,-3.2
199806,78.1,2.7
199906,75.2,-0.2
200006,77.6,2.2
200106,77.4,2.0
200206,78.5,3.1
200306,74.2,-1.2
200406,76.7,1.3
200506,76.5,1.1
200606,74.7,-0.7
200706,76.2,0.8
200806,80.4,5.0
200906,78.1,2.7
201006,81.2,5.8
201106,80.1,4.7
201206,74.4,-1.0
201306,75.8,0.4
201406,77.3,1.9
201506,79.3,3.9
201606,76.6,1.2
201706,75.5,0.1
201806,78.3,2.9
201906,75.9,0.5
202006,76.0,0.6
202106,76.0,0.6
202206,78.5,3.1
