Date,Value,Anomaly
194503,59.5,8.8
194603,55.9,5.2
194703,41.5,-9.2
194803,53.6,2.9
194903,50.8,0.1
195003,47.0,-3.7
195103,48.8,-1.9
195203,48.4,-2.3
195303,50.8,0.1
195403,49.1,-1.6
195503,53.4,2.7
195603,48.8,-1.9
195703,48.7,-2.0
195803,44.6,-6.1
195903,48.6,-2.1
196003,37.6,-13.1
196103,52.7,2.0
196203,45.5,-5.2
196303,53.4,2.7
196403,50.6,-0.1
196503,44.6,-6.1
196603,49.1,-1.6
196703,50.7,0.0
196803,51.7,1.0
196903,44.8,-5.9
197003,47.0,-3.7
197103,45.9,-4.8
197203,49.7,-1.0
197303,55.0,4.3
197403,54.6,3.9
197503,47.2,-3.5
197603,56.4,5.7
197703,54.4,3.7
197803,47.6,-3.1
197903,51.2,0.5
198003,46.9,-3.8
198103,47.4,-3.3
198203,51.2,0.5
198303,51.3,0.6
198403,47.7,-3.0
198503,53.2,2.5
198603,51.9,1.2
198703,49.4,-1.3
198803,50.9,0.2
198903,50.8,0.1
199003,55.0,4.3
199103,54.4,3.7
199203,50.6,-0.1
199303,48.0,-2.7
199403,52.3,1.6
199503,52.8,2.1
199603,46.3,-4.4
199703,55.3,4.6
199803,50.9,0.2
199903,48.3,-2.4
200003,54.1,3.4
200103,49.5,-1.2
200203,53.1,2.4
200303,53.7,3.0
200403,53.1,2.4
200503,47.9,-2.8
200603,51.6,0.9
200703,55.6,4.9
200803,53.1,2.4
200903,51.9,1.2
201003,51.7,1.0
201103,51.1,0.4
201203,60.1,9.4
201303,44.9,-5.8
201403,46.0,-4.7
201503,51.3,0.6
201603,58.4,7.7
201703,52.0,1.3
201803,45.8,-4.9
201903,49.2,-1.5
202003,58.0,7.3
202103,54.7,4.0
202203,56.4,5.7
