Date,Value,Anomaly
194505,64.7,-3.1
194605,66.3,-1.5
194705,68.3,0.5
194805,67.6,-0.2
194905,67.9,0.1
195005,68.6,0.8
195105,66.1,-1.7
195205,68.1,0.3
195305,73.5,5.7
195405,63.2,-4.6
195505,69.7,1.9
195605,67.5,-0.3
195705,68.1,0.3
195805,67.2,-0.6
195905,70.1,2.3
196005,66.0,-1.8
196105,64.2,-3.6
196205,72.0,4.2
196305,65.4,-2.4
196405,68.1,0.3
196505,71.9,4.1
196605,65.9,-1.9
196705,62.8,-5.0
196805,64.5,-3.3
196905,66.7,-1.1
197005,66.8,-1.0
197105,65.2,-2.6
197205,64.5,-3.3
197305,64.7,-3.1
197405,67.6,-0.2
197505,68.4,0.6
197605,67.0,-0.8
197705,69.9,2.1
197805,64.5,-3.3
197905,66.5,-1.3
198005,67.6,-0.2
198105,64.3,-3.5
198205,69.8,2.0
198305,66.0,-1.8
198405,66.0,-1.8
198505,67.9,0.1
198605,67.6,-0.2
198705,69.6,1.8
198805,66.3,-1.5
198905,65.1,-2.7
199005,67.5,-0.3
199105,72.4,4.6
199205,63.4,-4.4
199305,69.1,1.3
199405,64.3,-3.5
199505,68.6,0.8
199605,68.5,0.7
199705,64.7,-3.1
199805,69.9,2.1
199905,67.6,-0.2
200005,70.5,2.7
200105,68.5,0.7
200205,67.5,-0.3
200305,66.8,-1.0
200405,73.8,6.0
200505,65.0,-2.8
200605,65.7,-2.1
200705,67.9,0.1
200805,66.3,-1.5
200905,71.1,3.3
201005,71.6,3.8
201105,69.9,2.1
201205,71.7,3.9
201305,66.2,-1.6
201405,69.8,2.0
201505,71.1,3.3
201605,67.6,-0.2
201705,69.4,1.6
201805,74.2,6.4
201905,73.5,5.7
202005,65.3,-2.5
202105,66.7,-1.1
202205,71.5,3.7
