Date,Value,Anomaly
194411,47.3,-3.4
194511,51.0,0.3
194611,53.7,3.0
194711,45.8,-4.9
194811,53.7,3.0
194911,48.5,-2.2
195011,46.9,-3.8
195111,45.1,-5.6
195211,49.7,-1.0
195311,49.2,-1.5
195411,47.1,-3.6
195511,48.4,-2.3
195611,48.7,-2.0
195711,51.7,1.0
195811,53.3,2.6
195911,49.1,-1.6
196011,50.8,0.1
196111,52.4,1.7
196211,47.7,-3.0
196311,51.0,0.3
196411,52.7,2.0
196511,50.9,0.2
196611,49.9,-0.8
196711,46.2,-4.5
196811,50.6,-0.1
196911,46.9,-3.8
197011,50.2,-0.5
197111,48.9,-1.8
197211,48.4,-2.3
197311,54.8,4.1
197411,48.9,-1.8
197511,53.7,3.0
197611,42.7,-8.0
197711,52.0,1.3
197811,53.4,2.7
197911,53.5,2.8
198011,48.2,-2.5
198111,49.6,-1.1
198211,52.1,1.4
198311,51.4,0.7
198411,47.7,-3.0
198511,58.9,8.2
198611,53.2,2.5
198711,53.1,2.4
198811,52.1,1.4
198911,51.5,0.8
199011,54.2,3.5
199111,50.1,-0.6
199211,52.0,1.3
199311,51.9,1.2
199411,54.1,3.4
199511,47.2,-3.5
199611,45.9,-4.8
199711,48.0,-2.7
199811,52.7,2.0
199911,55.1,4.4
200011,48.5,-2.2
200111,56.3,5.6
200211,49.6,-1.1
200311,57.0,6.3
200411,53.7,3.0
200511,53.1,2.4
200611,53.2,2.5
200711,50.5,-0.2
200811,49.1,-1.6
200911,52.9,2.2
201011,51.4,0.7
201111,54.5,3.8
201211,47.3,-3.4
201311,48.4,-2.3
201411,47.0,-3.7
201511,55.4,4.7
201611,52.8,2.1
201711,50.0,-0.7
201811,48.4,-2.3
201911,48.1,-2.6
202011,55.8,5.1
202111,48.9,-1.8
