Raleigh, North Carolina, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
194410,59.3,-1.4
194510,59.1,-1.6
194610,61.1,0.4
194710,64.2,3.5
194810,56.8,-3.9
194910,63.8,3.1
195010,63.1,2.4
195110,63.2,2.5
195210,55.4,-5.3
195310,61.6,0.9
195410,62.7,2.0
195510,59.4,-1.3
195610,61.9,1.2
195710,55.5,-5.2
195810,58.3,-2.4
195910,61.7,1.0
196010,60.5,-0.2
196110,59.0,-1.7
196210,61.8,1.1
196310,60.5,-0.2
196410,55.2,-5.5
196510,58.8,-1.9
196610,57.8,-2.9
196710,58.3,-2.4
196810,61.1,0.4
196910,59.4,-1.3
197010,61.8,1.1
197110,65.0,4.3
197210,57.6,-3.1
197310,62.4,1.7
197410,56.6,-4.1
197510,62.5,1.8
197610,55.9,-4.8
197710,57.1,-3.6
197810,58.4,-2.3
197910,59.0,-1.7
198010,57.9,-2.8
198110,56.8,-3.9
198210,59.1,-1.6
198310,60.9,0.2
198410,66.9,6.2
198510,64.3,3.6
198610,63.3,2.6
198710,54.8,-5.9
198810,54.5,-6.2
198910,61.4,0.7
199010,64.2,3.5
199110,61.2,0.5
199210,58.2,-2.5
199310,59.7,-1.0
199410,59.4,-1.3
199510,63.5,2.8
199610,60.9,0.2
199710,60.3,-0.4
199810,61.8,1.1
199910,59.3,-1.4
200010,60.6,-0.1
200110,59.9,-0.8
200210,62.1,1.4
200310,60.1,-0.6
200410,62.8,2.1
200510,62.8,2.1
200610,58.9,-1.8
200710,67.1,6.4
200810,59.0,-1.7
200910,60.0,-0.7
201010,63.1,2.4
201110,58.9,-1.8
201210,60.6,-0.1
201310,61.7,1.0
201410,63.0,2.3
201510,60.4,-0.3
201610,64.4,3.7
201710,64.2,3.5
201810,62.0,1.3
201910,65.8,5.1
202010,64.4,3.7
202110,66.1,5.4
202210,60.3,-0.4
