Date,Value,Anomaly
194409,72.4,0.9
194509,74.4,2.9
194609,70.5,-1.0
194709,71.1,-0.4
194809,69.9,-1.6
194909,68.8,-2.7
195009,69.9,-1.6
195109,71.2,-0.3
195209,69.9,-1.6
195309,71.1,-0.4
195409,74.9,3.4
195509,71.8,0.3
195609,69.1,-2.4
195709,72.4,0.9
195809,69.0,-2.5
195909,71.0,-0.5
196009,70.8,-0.7
196109,73.2,1.7
196209,68.2,-3.3
196309,67.1,-4.4
196409,69.3,-2.2
196509,72.7,1.2
196609,69.8,-1.7
196709,65.3,-6.2
196809,70.4,-1.1
196909,68.3,-3.2
197009,74.0,2.5
197109,72.2,0.7
197209,70.6,-0.9
197309,73.4,1.9
197409,69.2,-2.3
197509,71.3,-0.2
197609,69.9,-1.6
197709,73.2,1.7
197809,71.4,-0.1
197909,70.6,-0.9
198009,75.2,3.7
198109,68.2,-3.3
198209,69.1,-2.4
198309,71.3,-0.2
198409,68.1,-3.4
198509,70.2,-1.3
198609,72.6,1.1
198709,73.3,1.8
198809,70.4,-1.1
198909,71.9,0.4
199009,72.2,0.7
199109,71.7,0.2
199209,71.5,0.0
199309,73.8,2.3
199409,69.2,-2.3
199509,70.7,-0.8
199609,70.9,-0.6
199709,71.7,0.2
199809,75.3,3.8
199909,69.9,-1.6
200009,69.8,-1.7
200109,69.5,-2.0
200209,73.6,2.1
200309,70.4,-1.1
200409,71.8,0.3
200509,76.2,4.7
200609,69.9,-1.6
200709,74.8,3.3
200809,72.4,0.9
200909,70.6,-0.9
201009,77.0,5.5
201109,73.2,1.7
201209,70.8,-0.7
201309,70.7,-0.8
201409,72.2,0.7
201509,73.5,2.0
201609,76.4,4.9
201709,71.9,0.4
201809,76.9,5.4
201909,76.9,5.4
202009,70.5,-1.0
202109,73.0,1.5
202209,73.8,2.3
